,enabled_for_run,EPOCHS,model,optimizer,loss_function,layers
0,True,1,<keras.engine.sequential.Sequential object at 0x0000019DB0DC4670>,adam,mse,"{'layer_type': <class 'keras.layers.recurrent_v2.LSTM'>, 'layer_arguments': {'units': 50, 'activation': 'tanh', 'input_shape': (40, 10)}}"
1,True,1,<keras.engine.sequential.Sequential object at 0x0000019DB0DC4670>,adam,mse,"{'layer_type': <class 'keras.layers.core.Dense'>, 'layer_arguments': {'units': 3, 'activation': 'softmax'}}"
