,loss,accuracy,val_loss,val_accuracy
2,0.1843423843383789,0.525022566318512,0.19901910424232483,0.46916916966438293
3,0.17908811569213867,0.543923020362854,0.1947506219148636,0.4807186424732208
4,0.17336955666542053,0.5587630271911621,0.18802429735660553,0.5075526833534241
5,0.1691339612007141,0.5713135600090027,0.1831047534942627,0.5202276706695557
6,0.1667599081993103,0.5750913023948669,0.18509384989738464,0.5133740305900574
7,0.16327039897441864,0.5882191061973572,0.18261879682540894,0.5214249491691589
8,0.16065987944602966,0.5989986062049866,0.1801133006811142,0.5345587730407715
9,0.15758636593818665,0.6095307469367981,0.1764182597398758,0.543527364730835
10,0.15581855177879333,0.6163715124130249,0.1699521392583847,0.5661961436271667
11,0.15349967777729034,0.6217082142829895,0.17992165684700012,0.5301210880279541
12,0.15017428994178772,0.6376948952674866,0.17693930864334106,0.5809573531150818
13,0.14422981441020966,0.6624779105186462,0.16981706023216248,0.6065009832382202
14,0.1387834995985031,0.6794659495353699,0.16538915038108826,0.6182439923286438
15,0.1357622742652893,0.6888081431388855,0.16316241025924683,0.624624490737915
16,0.1328519880771637,0.6988807916641235,0.1524907797574997,0.650404691696167
17,0.13014967739582062,0.7067583203315735,0.15417324006557465,0.6495300531387329
18,0.1277904361486435,0.7147300243377686,0.15378352999687195,0.6553012132644653
19,0.12618520855903625,0.7189671993255615,0.15374214947223663,0.6562045216560364
20,0.12380186468362808,0.7253799438476562,0.1533787101507187,0.6560396552085876
21,0.12274046242237091,0.7288435101509094,0.1525495946407318,0.6606708765029907
22,0.12171397358179092,0.7318515777587891,0.15023596584796906,0.6687146425247192
23,0.11961941421031952,0.7365913987159729,0.1505206674337387,0.6658900380134583
24,0.11808719485998154,0.74110347032547,0.15238641202449799,0.6648863554000854
25,0.11721420288085938,0.7435303330421448,0.14916028082370758,0.6725214719772339
26,0.11609236150979996,0.7473198771476746,0.14907124638557434,0.6713887453079224
27,0.11429715156555176,0.7525544762611389,0.14879582822322845,0.6752815842628479
28,0.11390981078147888,0.7529432773590088,0.14988122880458832,0.6750664710998535
29,0.11353175342082977,0.7527272701263428,0.15089818835258484,0.6723995804786682
30,0.11177438497543335,0.7586255669593811,0.14863315224647522,0.6804074645042419
31,0.1102324053645134,0.762513279914856,0.15233591198921204,0.6747581958770752
32,0.10967814922332764,0.7642685770988464,0.1551080048084259,0.669782817363739
33,0.10969332605600357,0.764594554901123,0.15259671211242676,0.6704782247543335
34,0.108680859208107,0.767763614654541,0.15396066009998322,0.6665782332420349
35,0.10707069933414459,0.771301805973053,0.15252694487571716,0.6710016131401062
36,0.10756821185350418,0.7704024910926819,0.1500544548034668,0.6759339570999146
37,0.10684006661176682,0.7726644277572632,0.152668759226799,0.6718403697013855
38,0.1066608875989914,0.7727665305137634,0.15164899826049805,0.6748944520950317
39,0.10595258325338364,0.7740663886070251,0.15231581032276154,0.6732096672058105
40,0.10457691550254822,0.7777734398841858,0.15274499356746674,0.6750879883766174
41,0.10422979295253754,0.7783506512641907,0.15117134153842926,0.6771599054336548
42,0.10455697029829025,0.7779226303100586,0.15082141757011414,0.6781420707702637
43,0.10319067537784576,0.7815786600112915,0.15148711204528809,0.6768301129341125
44,0.10281993448734283,0.7814686894416809,0.1528659462928772,0.6744714379310608
45,0.10214343667030334,0.7833025455474854,0.15182757377624512,0.6777190566062927
46,0.1015157476067543,0.786157488822937,0.15318717062473297,0.6754321455955505
47,0.10141018778085709,0.7858786582946777,0.15548375248908997,0.6717185378074646
48,0.10091078281402588,0.7868093252182007,0.14970219135284424,0.6818270087242126
49,0.09973925352096558,0.7902690172195435,0.1536039412021637,0.6750736832618713
50,0.10171177983283997,0.7851836085319519,0.15385666489601135,0.666549563407898
51,0.10030052065849304,0.7890830636024475,0.15405629575252533,0.6716539859771729
52,0.09968052059412003,0.7907559275627136,0.15458573400974274,0.6721988320350647
53,0.0998920351266861,0.7898134589195251,0.1543583869934082,0.6724139451980591
54,0.0987761914730072,0.7934890985488892,0.153523787856102,0.6708582043647766
55,0.09940933436155319,0.7918437123298645,0.15369728207588196,0.669775664806366
56,0.09824088215827942,0.794400155544281,0.15427888929843903,0.6734821200370789
57,0.09736422449350357,0.7964500188827515,0.1522897332906723,0.6764572858810425
58,0.09660331159830093,0.7979776263237,0.1533101350069046,0.6765289902687073
59,0.09723544865846634,0.7964971661567688,0.15377148985862732,0.673833429813385
60,0.09641876071691513,0.7980522513389587,0.1520325392484665,0.6787800788879395
61,0.0995696559548378,0.7894207835197449,0.15443728864192963,0.6641335487365723
62,0.0985117182135582,0.7940349578857422,0.15172851085662842,0.6789951920509338
63,0.09784062206745148,0.7951070070266724,0.15698900818824768,0.6648504734039307
64,0.09717060625553131,0.796909511089325,0.1528475433588028,0.6751668453216553
65,0.09588361531496048,0.800644040107727,0.15247571468353271,0.678479015827179
